feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target
0.7916013845526763,0.46887236686252964,0.7176569065998146,0.45369414196744845,0.1656084166972401,0.9792461287065619,0.7203289705816946,0.3192299623694141,0.7456465323492215,0.5914937393757933,0.906982219835056,0.6530096899358186,0.4370916764065359,0.8871653050297422,0.464574477642165,0.028729536780311687,0.20209464407427838,0.6804811504318186,0.9103848027715797,0.05524780751391578,0.8588661507874209
0.1998435095286151,0.2836967082065317,0.2597927738622305,0.49229630245193146,0.527757870847506,0.7876563088438876,0.003632733277790796,0.15131416978854326,0.5543886594430693,0.09489298814016799,0.08102776397713081,0.859297976371824,0.5604596270661802,0.8107654275014525,0.5329632052031898,0.58534725188487,0.38266626591332326,0.1700697978971031,0.9348334525117122,0.4092950439223755,0.40833262543031634
0.11770809012044212,0.6853392113558529,0.12918912887832368,0.8736769832908423,0.27689251295219736,0.3766870426226048,0.1360314094189799,0.7019498031599564,0.7215042669664102,0.17159174133027155,0.3152749920291581,0.5788655756778464,0.4071969836239074,0.026448086594972664,0.3643405370770392,0.8362802043795172,0.41628724718005433,0.26780714801914957,0.10940009793035,0.6401277086835695,0.29054337853549544
0.647994085001764,0.5562420877833071,0.4498734128956092,0.43340745548049336,0.4492965478602325,0.8012235162685278,0.6441587394908302,0.2761749326413365,0.7283423578773102,0.042468036813395185,0.35379001430653745,0.1172594752503418,0.7370312577094961,0.6560788614345053,0.8088184873042941,0.35762230390881083,0.7608549164509546,0.4019448519926773,0.1465166767536996,0.7051721342472431,0.20310254130435673
0.8737208455280295,0.1452221286664602,0.7722883505508462,0.7074815724348099,0.2730898863630657,0.6647506192353907,0.7171391412698231,0.9180713862947528,0.29854646189867506,0.6424071333616239,0.9155179112819546,0.8974799938760187,0.5066255347608922,0.5714784448052525,0.043222803112240145,0.1365095945421666,0.1106034595015597,0.30117701504821015,0.5694064201261636,0.15361621656584046,0.8210213601360593
0.882676881050616,0.5946651206921822,0.6542094059265874,0.028261971566647885,0.7651763301182729,0.3942917364539351,0.9090654491901884,0.7165394890606674,0.369500953165327,0.3919313690205527,0.1318721742995803,0.45578747383093493,0.1245381992825514,0.8052835133026138,0.8166747852669962,0.03868483328897388,0.20912509186561618,0.5964940496097643,0.8203849100030264,0.6339222315084228,0.7027842916593978
0.5297414684455983,0.5224739617819109,0.7992015744834544,0.7055658183632327,0.3052664877543872,0.24339635391370856,0.5182004669687272,0.909549304705444,0.8290307959615262,0.10791061998138578,0.47231078794693754,0.961384341515997,0.661737377116747,0.6662768695527118,0.1270576878601284,0.1716373427975014,0.7021819529441974,0.08833120269645303,0.05681730769038336,0.41097290409207116,0.6416381276016699
0.07372445761277466,0.019306821797502174,0.7359117880545533,0.6603715641527176,0.3707493828738098,0.27917661129148785,0.5286234211782671,0.4178678308955767,0.67419606959995,0.8392803795009156,0.4955126673831893,0.617079074766342,0.5777507790818348,0.25580658810345336,0.6809077742875005,0.5655652168229502,0.4235185031049321,0.1056814651728343,0.6490897551421083,0.15605504093550657,0.6114630543055883
0.6416344766920158,0.9923234366913967,0.5414432929223402,0.6335174995343952,0.9757162560015784,0.3180070007493377,0.13912993814674537,0.5806249593045768,0.3190818261434559,0.8820361419429443,0.4835757558457194,0.8482962122055958,0.6762747623684,0.9348860935622214,0.39414790792195004,0.8152621700723057,0.8802484442933433,0.30210982106194845,0.39877532899640866,0.64408852233051,0.5648866230657172
0.9717763094392466,0.01982410489697572,0.07178500439314785,0.11430445568418637,0.4658894481497577,0.12953914664020863,0.36161704836507413,0.41631013030467034,0.38723965374367675,0.6081541739978513,0.12119294948711519,0.5880793661357936,0.46018129268168695,0.603529661436558,0.4016702161557389,0.01658243670403154,0.338273894849813,0.30922370246302433,0.7172615567404298,0.04229671911757799,0.4642293532837557
0.573305246541795,0.29774456908932695,0.9919644613324041,0.569903797228357,0.28655776231899904,0.886311376928478,0.020394376332729967,0.8249560602923129,0.013741031620432394,0.11208765640629349,0.8754511846868871,0.7163726167909351,0.39830090255391326,0.7333171165150754,0.4650673204165026,0.8305641291536544,0.09882804498959652,0.004134090063018649,0.42264371773415366,0.38587613918684843,0.6069912959621495
0.7496634520921702,0.24532401193644995,0.7749225622942597,0.9177782758420227,0.1536518975877878,0.6357713833324713,0.8601555040082262,0.12608174536383027,0.21761938085368343,0.6493492632281047,0.13643797019552883,0.3573935977335664,0.7230688173304867,0.9253866436161721,0.7989343822915494,0.40534704394610277,0.13531501203677454,0.9455444123018978,0.7025254981981228,0.8371027108686879,0.7652492635800902
0.16084188798286067,0.11315568067983822,0.6750155295137197,0.5810530462947173,0.7961960389643734,0.6032460426114903,0.04933103123227172,0.7296648106884869,0.675538959256235,0.855212511723756,0.5265236175501329,0.8585494055582479,0.8490755505843581,0.11690038592086296,0.8707703924318173,0.3299658216612665,0.9604503999893071,0.5110767386302352,0.10162189624391363,0.666696979385509,0.6347514335377308
0.07790140328699748,0.7292605032087233,0.634011842319072,0.6775828059602891,0.610736420045196,0.5041644233515128,0.15528730839036614,0.9653539480474284,0.17675166071835563,0.9551839592158914,0.8283379468584441,0.14483200238387117,0.3270004158143608,0.8987207787622196,0.30881034795250095,0.2271615294350413,0.39590648512870885,0.5642378360676461,0.17333350515848034,0.6720863358387135,0.42073413134076554
0.8785344149008258,0.22871329966832935,0.6573272712515574,0.030876725910444224,0.7447495302094617,0.10675916324222229,0.1399802938097082,0.9376239451304539,0.7940597561685323,0.3449831330762231,0.5697999710546315,0.4900300960523393,0.846168340111578,0.8678117508642222,0.5031699485823894,0.7210649760061456,0.2680204235574565,0.6057190564086512,0.6673912254293787,0.20414607928107933,0.5640578767157746
