,target,feature_2,feature_13,feature_11,feature_9,feature_18,feature_14,feature_8,feature_16,feature_6,feature_17,feature_0,feature_10,feature_3,feature_5,feature_15,feature_12,feature_7,feature_1,feature_4,feature_19
target,1.0,0.51,0.41,0.39,0.36,0.11,0.06,0.03,0.02,0.01,0.01,-0.0,-0.02,-0.06,-0.06,-0.06,-0.07,-0.07,-0.08,-0.16,-0.18
feature_2,0.51,1.0,-0.01,0.05,-0.04,0.01,0.01,-0.05,-0.06,-0.04,0.04,-0.02,-0.06,-0.05,-0.04,-0.05,-0.13,0.0,-0.09,-0.12,-0.14
feature_13,0.41,-0.01,1.0,0.06,-0.01,0.12,0.05,0.09,0.08,0.02,0.03,0.03,-0.01,-0.07,0.0,-0.08,-0.01,-0.11,-0.04,-0.05,-0.07
feature_11,0.39,0.05,0.06,1.0,0.0,0.09,0.03,0.08,0.03,0.07,0.02,0.04,0.01,-0.03,-0.09,0.04,-0.03,0.0,0.01,-0.06,-0.05
feature_9,0.36,-0.04,-0.01,0.0,1.0,0.03,0.04,0.01,0.01,0.01,0.05,-0.02,0.02,-0.04,-0.02,-0.05,-0.07,-0.08,-0.01,-0.11,-0.1
feature_18,0.11,0.01,0.12,0.09,0.03,1.0,0.08,0.09,0.0,-0.04,0.09,-0.01,-0.03,0.03,-0.06,-0.02,0.02,-0.04,0.05,-0.04,-0.05
feature_14,0.06,0.01,0.05,0.03,0.04,0.08,1.0,0.04,0.06,-0.07,0.07,0.03,-0.03,-0.01,-0.02,0.01,-0.02,-0.01,0.0,0.01,-0.1
feature_8,0.03,-0.05,0.09,0.08,0.01,0.09,0.04,1.0,-0.04,0.05,0.02,-0.04,-0.04,0.01,-0.04,0.03,-0.03,-0.09,-0.03,-0.1,-0.12
feature_16,0.02,-0.06,0.08,0.03,0.01,0.0,0.06,-0.04,1.0,-0.01,0.03,-0.07,0.0,-0.0,-0.03,-0.07,-0.04,-0.04,-0.02,0.02,0.01
feature_6,0.01,-0.04,0.02,0.07,0.01,-0.04,-0.07,0.05,-0.01,1.0,0.01,-0.01,-0.06,-0.04,-0.04,-0.06,-0.1,-0.08,-0.0,-0.07,-0.08
feature_17,0.01,0.04,0.03,0.02,0.05,0.09,0.07,0.02,0.03,0.01,1.0,-0.04,-0.01,0.04,-0.04,-0.01,-0.05,-0.08,-0.02,0.0,-0.06
feature_0,-0.0,-0.02,0.03,0.04,-0.02,-0.01,0.03,-0.04,-0.07,-0.01,-0.04,1.0,-0.11,-0.1,-0.07,-0.11,-0.18,-0.13,-0.13,-0.15,-0.15
feature_10,-0.02,-0.06,-0.01,0.01,0.02,-0.03,-0.03,-0.04,0.0,-0.06,-0.01,-0.11,1.0,-0.04,-0.14,-0.04,-0.11,-0.11,-0.17,-0.1,-0.1
feature_3,-0.06,-0.05,-0.07,-0.03,-0.04,0.03,-0.01,0.01,-0.0,-0.04,0.04,-0.1,-0.04,1.0,-0.03,-0.05,-0.04,-0.13,-0.06,-0.13,-0.02
feature_5,-0.06,-0.04,0.0,-0.09,-0.02,-0.06,-0.02,-0.04,-0.03,-0.04,-0.04,-0.07,-0.14,-0.03,1.0,-0.13,-0.15,-0.07,-0.01,-0.04,-0.05
feature_15,-0.06,-0.05,-0.08,0.04,-0.05,-0.02,0.01,0.03,-0.07,-0.06,-0.01,-0.11,-0.04,-0.05,-0.13,1.0,-0.03,-0.08,-0.01,-0.04,-0.1
feature_12,-0.07,-0.13,-0.01,-0.03,-0.07,0.02,-0.02,-0.03,-0.04,-0.1,-0.05,-0.18,-0.11,-0.04,-0.15,-0.03,1.0,-0.09,-0.05,-0.19,-0.1
feature_7,-0.07,0.0,-0.11,0.0,-0.08,-0.04,-0.01,-0.09,-0.04,-0.08,-0.08,-0.13,-0.11,-0.13,-0.07,-0.08,-0.09,1.0,-0.07,-0.06,-0.09
feature_1,-0.08,-0.09,-0.04,0.01,-0.01,0.05,0.0,-0.03,-0.02,-0.0,-0.02,-0.13,-0.17,-0.06,-0.01,-0.01,-0.05,-0.07,1.0,-0.05,-0.06
feature_4,-0.16,-0.12,-0.05,-0.06,-0.11,-0.04,0.01,-0.1,0.02,-0.07,0.0,-0.15,-0.1,-0.13,-0.04,-0.04,-0.19,-0.06,-0.05,1.0,-0.15
feature_19,-0.18,-0.14,-0.07,-0.05,-0.1,-0.05,-0.1,-0.12,0.01,-0.08,-0.06,-0.15,-0.1,-0.02,-0.05,-0.1,-0.1,-0.09,-0.06,-0.15,1.0
